scenario,seed,burn_in_deaths,analyzed_target_deaths,total_deaths_simulated,n_observed_deaths_analyzed,stopped_by_target,burn_in_time,raw_final_time,total_time_for_analyzed_200_deaths_after_burnin,observed_death_rate_after_burnin,mean_inter_death_time_after_burnin,median_inter_death_time_after_burnin,activation_candidates_processed,activation_accepted,activation_rejected,activation_rejection_rate,death_candidates_processed,death_rejected_outside_active,death_rejected_by_erk,death_rejected_total,death_rejection_rate,death_rejection_rate_outside_active,death_rejection_rate_by_erk,death_acceptance_rate_total,erk_zones_created_total,spatial_bins_per_axis_for_plot,spatial_expected_count_per_plot_bin_if_uniform,spatial_coefficient_of_variation_plot_bins,spatial_expected_cv_if_uniform_plot_bins,spatial_cv_ratio_to_uniform_plot_bins,spatial_empty_bins_plot_bins,spatial_bins_per_axis_for_chi2_test,spatial_expected_count_per_chi2_bin_if_uniform,spatial_chi2_statistic_against_uniform_counts_chi2_bins,spatial_chi2_df_chi2_bins,spatial_chi2_per_df_chi2_bins,spatial_chi2_p_value_chi2_bins,lambda_a_1,lambda_a_c,lambda_d,beta_a_R,beta_a_T,beta_d_R,beta_d_T
baseline,123,500,200,700,200,True,63.367446332060666,104.1138679665134,40.74642163445273,4.908406480310212,0.20373210817226364,0.12178869090907796,6543,3955,2588,0.39553721534464314,2642,853,1089,1942,0.7350492051476154,0.32286146858440573,0.4121877365632097,0.26495079485238454,700,10,2.0,0.8306623862918074,0.7035623639735145,1.1806521053804941,18,5,8.0,40.25,24,1.6770833333333333,0.02010151491573688,0.6,0.05,0.25,1.4,0.8,1.2,0.6
higher_death_intensity,124,500,200,700,200,True,56.35894381446961,75.27522454246973,18.916280728000118,10.572902933500954,0.09458140364000059,0.06714335523786019,4737,2920,1817,0.38357610301878825,2634,736,1198,1934,0.7342444950645406,0.27942293090356873,0.4548215641609719,0.26575550493545935,700,10,2.0,0.6855654600401044,0.7035623639735145,0.9744203145947592,17,5,8.0,35.5,24,1.4791666666666667,0.061323265698607944,0.6,0.05,0.35,1.4,0.8,1.2,0.6
more_active_coverage,125,500,200,700,200,True,44.2560982664665,58.2453071031355,13.989208836669,14.296734170967056,0.069946044183345,0.04622967624636232,5943,5835,108,0.01817264008076729,1436,14,722,736,0.5125348189415042,0.009749303621169917,0.5027855153203342,0.48746518105849584,700,10,2.0,0.6745368781616021,0.7035623639735145,0.9587449708822046,12,5,8.0,27.75,24,1.15625,0.2707256768021193,1.0,0.05,0.25,1.0,0.6,1.2,0.6
weaker_ERK,126,500,200,700,200,True,37.08013276743561,51.339237455214466,14.259104687778859,14.02612607027251,0.0712955234388943,0.05488193302294775,3539,2272,1267,0.35801073749646795,1301,501,100,601,0.4619523443504996,0.3850883935434281,0.07686395080707148,0.5380476556495004,700,10,2.0,0.6819090848492928,0.7035623639735145,0.9692233691951198,11,5,8.0,31.75,24,1.3229166666666667,0.13331421248756847,0.6,0.05,0.25,1.4,0.8,2.5,1.5
balanced_optimized,127,500,200,700,200,True,24.778825075969248,33.83071172506953,9.051886649100279,22.094841412964357,0.04525943324550139,0.027244638497808893,3936,3711,225,0.057164634146341466,820,51,69,120,0.14634146341463414,0.06219512195121951,0.08414634146341464,0.8536585365853658,700,10,2.0,0.5873670062235365,0.7035623639735145,0.8348471099367218,9,5,8.0,14.5,24,0.6041666666666666,0.9345399605828467,1.0,0.05,0.25,1.0,0.6,2.5,1.5
low_rejection_test,128,500,200,700,200,True,23.69786105563476,32.781121609100204,9.083260553465443,22.018525046459892,0.045416302767327214,0.03031237753799232,4882,4824,58,0.01188037689471528,779,10,69,79,0.10141206675224647,0.012836970474967908,0.08857509627727857,0.8985879332477535,700,10,2.0,0.7842193570679061,0.7035623639735145,1.1146408580454255,17,5,8.0,25.0,24,1.0416666666666667,0.40576068881148264,1.2,0.08,0.25,0.9,0.5,3.0,2.0
