scenario,seed,burn_in_deaths,analyzed_target_deaths,total_deaths_simulated,n_observed_deaths_analyzed,stopped_by_target,burn_in_time,raw_final_time,total_time_for_analyzed_200_deaths_after_burnin,observed_death_rate_after_burnin,mean_inter_death_time_after_burnin,median_inter_death_time_after_burnin,activation_candidates_processed,activation_accepted,activation_rejected,activation_rejection_rate,death_candidates_processed,death_rejected_outside_active,death_rejected_by_erk,death_rejected_total,death_rejection_rate,death_acceptance_rate_total,erk_zones_created_total,spatial_bins_per_axis_for_plot,spatial_expected_count_per_plot_bin_if_uniform,spatial_coefficient_of_variation_plot_bins,spatial_expected_cv_if_uniform_plot_bins,spatial_cv_ratio_to_uniform_plot_bins,spatial_empty_bins_plot_bins,spatial_bins_per_axis_for_chi2_test,spatial_expected_count_per_chi2_bin_if_uniform,spatial_chi2_statistic_against_uniform_counts_chi2_bins,spatial_chi2_df_chi2_bins,spatial_chi2_per_df_chi2_bins,spatial_chi2_p_value_chi2_bins,lambda_a_1,lambda_a_c,lambda_d,beta_a_R,beta_a_T,beta_d_R,beta_d_T
baseline,123,500,200,700,200,True,63.367446332060666,104.1138679665134,40.74642163445273,4.908406480310212,0.20373210817226364,0.12178869090907796,6543,3955,2588,0.39553721534464314,2642,853,1089,1942,0.7350492051476154,0.26495079485238454,700,10,2.0,0.8306623862918074,0.7035623639735145,1.1806521053804941,18,5,8.0,40.25,24,1.6770833333333333,0.02010151491573688,0.6,0.05,0.25,1.4,0.8,1.2,0.6
higher_death_intensity,124,500,200,700,200,True,56.35894381446961,75.27522454246973,18.916280728000118,10.572902933500954,0.09458140364000059,0.06714335523786019,4737,2920,1817,0.38357610301878825,2634,736,1198,1934,0.7342444950645406,0.26575550493545935,700,10,2.0,0.6855654600401044,0.7035623639735145,0.9744203145947592,17,5,8.0,35.5,24,1.4791666666666667,0.061323265698607944,0.6,0.05,0.35,1.4,0.8,1.2,0.6
stronger_ERK_protection,125,500,200,700,200,True,142.32437224175203,184.241369839927,41.91699759817496,4.771334099766436,0.2095849879908748,0.12862679563006907,11387,6865,4522,0.39711952226222885,4547,965,2882,3847,0.8460523422036508,0.15394765779634925,700,10,2.0,0.6204836822995429,0.7035623639735145,0.8819171036881969,8,5,8.0,23.5,24,0.9791666666666666,0.49046588747847186,0.6,0.05,0.25,1.4,0.8,0.8,0.4
stronger_activation_feedback,126,500,200,700,200,True,53.52733465718133,69.21954178728805,15.692207130106723,12.745179715113778,0.07846103565053361,0.05982496202087262,6231,5081,1150,0.18456106563954422,1785,213,872,1085,0.6078431372549019,0.39215686274509803,700,10,2.0,0.744983221287567,0.7035623639735145,1.0588730430094635,15,5,8.0,27.25,24,1.1354166666666667,0.292935457539313,0.9,0.05,0.25,1.4,0.8,1.2,0.6
weaker_ERK_optimized,127,500,200,700,200,True,46.97283932318004,62.76700538062979,15.79416605744975,12.662903458942964,0.07897083028724876,0.054525933273524174,4180,2423,1757,0.42033492822966506,1525,664,161,825,0.5409836065573771,0.45901639344262296,700,10,2.0,0.7071067811865476,0.7035623639735145,1.005037815259212,17,5,8.0,38.5,24,1.6041666666666667,0.030793901743776296,0.6,0.05,0.25,1.4,0.8,2.0,1.2
