scenario,seed,burn_in_deaths,analyzed_target_deaths,total_deaths_simulated,n_observed_deaths_analyzed,stopped_by_target,burn_in_time,raw_final_time,total_time_for_analyzed_1000_deaths_after_burnin,observed_death_rate_after_burnin,mean_inter_death_time_after_burnin,median_inter_death_time_after_burnin,accepted_activations_total,activation_candidates,death_candidates,activation_rejected,death_rejected,active_center_expirations,erk_zone_expirations,all_proposals,spatial_bins_per_axis_for_plot,spatial_expected_count_per_plot_bin_if_uniform,spatial_chi2_statistic_against_uniform_counts_plot_bins,spatial_chi2_df_plot_bins,spatial_chi2_per_df_plot_bins,spatial_chi2_p_value_plot_bins_descriptive_only,spatial_coefficient_of_variation_plot_bins,spatial_empty_bins_plot_bins,spatial_bins_per_axis_for_chi2_test,spatial_expected_count_per_chi2_bin_if_uniform,spatial_chi2_statistic_against_uniform_counts_chi2_bins,spatial_chi2_df_chi2_bins,spatial_chi2_per_df_chi2_bins,spatial_chi2_p_value_chi2_bins,t_zone_area,outside_t_zone_area,t_zone_observed_deaths,outside_t_zone_observed_deaths,t_zone_observed_fraction,t_zone_area_fraction,t_zone_death_density,outside_t_zone_death_density,t_zone_density_ratio,lambda_a_1,lambda_a_T,lambda_a_c,lambda_d,beta_a_R,beta_a_T,beta_d_R,beta_d_T
baseline,123,500,1000,1500,1000,True,13.922585874028961,37.25170588526015,23.32912001123119,42.86488300967102,0.02332912001123119,0.015144014611436774,16591,18647,3708,2056,2208,16194,1457,40006,20,2.5,388.0,399,0.9724310776942355,0.6440761149791504,0.6228964600958975,31,10,10.0,105.2,99,1.0626262626262626,0.3160057527005043,44.44444444444445,55.55555555555555,430,570,0.43,0.4444444444444445,9.674999999999999,10.260000000000002,0.9429824561403506,5.0,0.5,0.05,1.0,2.5,1.2,2.0,0.8
higher_death_rate,124,500,1000,1500,1000,True,10.21740735009117,32.560101925776095,22.342694575684924,44.75735890371426,0.022342694575684923,0.013974517541443632,14640,16292,4768,1652,3268,14267,1462,36789,20,2.5,356.80000000000007,399,0.8942355889724313,0.936522607886774,0.5973273809227232,25,10,10.0,106.99999999999999,99,1.0808080808080807,0.27392167530299955,44.44444444444445,55.55555555555555,424,576,0.424,0.4444444444444445,9.54,10.368,0.9201388888888887,5.0,0.5,0.05,1.5,2.5,1.2,2.0,0.8
larger_ERK_radius,125,500,1000,1500,1000,True,25.361704331568948,75.85248294412587,50.49077861255692,19.805596734277785,0.05049077861255692,0.031625689703489,34883,37794,7548,2911,6048,34483,1482,81307,20,2.5,408.79999999999995,399,1.0245614035087718,0.35655940497248934,0.6393746945258313,33,10,10.0,117.40000000000002,99,1.1858585858585862,0.10007666419196978,44.44444444444445,55.55555555555555,438,562,0.438,0.4444444444444445,9.854999999999999,10.116000000000001,0.9741992882562275,5.0,0.5,0.05,1.0,2.5,1.2,1.0,0.8
shorter_ERK_duration,126,500,1000,1500,1000,True,9.998709830615999,26.588064165933044,16.589354335317047,60.279621484188915,0.016589354335317046,0.01219974299841553,11998,13559,2693,1561,1193,11574,1475,29301,20,2.5,431.2,399,1.080701754385965,0.12839318209726508,0.6566582063752802,35,10,10.0,78.6,99,0.7939393939393938,0.9351241076847032,44.44444444444445,55.55555555555555,439,561,0.439,0.4444444444444445,9.8775,10.098,0.9781639928698751,5.0,0.5,0.05,1.0,2.5,1.2,2.0,2.0
stronger_T_zone_activation,127,500,1000,1500,1000,True,14.036625356558234,39.161301247481966,25.124675890923733,39.80150845891107,0.025124675890923733,0.016094403976293137,17865,19524,3984,1659,2484,17507,1459,42474,20,2.5,411.2,399,1.030576441102757,0.3259610774761144,0.6412487816752559,31,10,10.0,119.8,99,1.2101010101010101,0.07601774548208123,44.44444444444445,55.55555555555555,413,587,0.413,0.4444444444444445,9.292499999999999,10.566,0.879471890971039,5.0,1.0,0.05,1.0,2.5,1.2,2.0,0.8
strong_visible_T_zone,128,500,1000,1500,1000,True,92.63229901727007,256.47869831954284,163.84639930227277,6.103277241724094,0.16384639930227277,0.10049966217302142,29431,128492,25651,99061,24151,29396,1497,185036,20,2.5,1244.8,399,3.119799498746867,1.0916854773859292e-87,1.1157060544785082,169,10,10.0,953.4000000000001,99,9.63030303030303,9.447036894010275e-140,44.44444444444445,55.55555555555555,897,103,0.897,0.4444444444444445,20.182499999999997,1.854,10.885922330097085,5.0,2.0,0.005,1.0,5.0,3.0,2.0,0.8
