scenario,seed,burn_in_deaths,analyzed_target_deaths,total_deaths_simulated,n_observed_deaths_analyzed,stopped_by_target,burn_in_time,raw_final_time,total_time_for_analyzed_1000_deaths_after_burnin,observed_death_rate_after_burnin,mean_inter_death_time_after_burnin,median_inter_death_time_after_burnin,accepted_activations_total,activation_candidates,death_candidates,activation_rejected,death_rejected,death_rejection_rate,death_acceptance_rate_total,active_center_expirations,erk_zone_expirations,all_proposals,spatial_bins_per_axis_for_plot,spatial_expected_count_per_plot_bin_if_uniform,spatial_chi2_statistic_against_uniform_counts_plot_bins,spatial_chi2_df_plot_bins,spatial_chi2_per_df_plot_bins,spatial_chi2_p_value_plot_bins_descriptive_only,spatial_coefficient_of_variation_plot_bins,spatial_empty_bins_plot_bins,spatial_bins_per_axis_for_chi2_test,spatial_expected_count_per_chi2_bin_if_uniform,spatial_chi2_statistic_against_uniform_counts_chi2_bins,spatial_chi2_df_chi2_bins,spatial_chi2_per_df_chi2_bins,spatial_chi2_p_value_chi2_bins,t_zone_area,outside_t_zone_area,t_zone_observed_deaths,outside_t_zone_observed_deaths,t_zone_observed_fraction,t_zone_area_fraction,t_zone_death_density,outside_t_zone_death_density,t_zone_density_ratio,lambda_a_1,lambda_a_T,lambda_a_c,lambda_d,beta_a_R,beta_a_T,beta_d_R,beta_d_T
baseline,123,500,1000,1500,1000,True,13.922585874028961,37.25170588526015,23.32912001123119,42.86488300967102,0.02332912001123119,0.015144014611436774,16591,18647,3708,2056,2208,0.5954692556634305,0.4045307443365696,16194,1457,40006,20,2.5,388.0,399,0.9724310776942355,0.6440761149791504,0.6228964600958975,31,10,10.0,105.2,99,1.0626262626262626,0.3160057527005043,44.44444444444445,55.55555555555555,430,570,0.43,0.4444444444444445,9.674999999999999,10.260000000000002,0.9429824561403506,5.0,0.5,0.05,1.0,2.5,1.2,2.0,0.8
shorter_ERK_duration,201,500,1000,1500,1000,True,12.690641853242132,29.645543443492837,16.954901590250707,58.979994350130184,0.016954901590250707,0.011219692495448186,12900,14893,2903,1993,1403,0.4832931450223906,0.5167068549776094,12517,1469,31782,20,2.5,333.6,399,0.8360902255639099,0.9924787405272796,0.5775811631277461,28,10,10.0,84.0,99,0.8484848484848485,0.8592911018393782,44.44444444444445,55.55555555555555,459,541,0.459,0.4444444444444445,10.327499999999999,9.738000000000001,1.0605360443622918,5.0,0.5,0.05,1.0,2.5,1.2,2.0,2.0
smaller_ERK_radius,202,500,1000,1500,1000,True,9.721657259893446,27.41670602380543,17.695048763911984,56.512983566309316,0.017695048763911984,0.011865236725791206,12095,13741,2638,1646,1138,0.4313874147081122,0.5686125852918877,11729,1438,29546,20,2.5,335.20000000000005,399,0.8401002506265666,0.9910478150661334,0.5789645930452052,29,10,10.0,90.0,99,0.9090909090909091,0.729834410284651,44.44444444444445,55.55555555555555,448,552,0.448,0.4444444444444445,10.079999999999998,9.936000000000002,1.014492753623188,5.0,0.5,0.05,1.0,2.5,1.2,3.0,0.8
optimized_mild,205,500,1000,1500,1000,True,10.018855684020668,26.04066663167463,16.02181094765396,62.4149169695719,0.01602181094765396,0.012010913561167236,11955,13084,2568,1129,1068,0.4158878504672897,0.5841121495327103,11478,1460,28590,20,2.5,420.0,399,1.0526315789473684,0.2253534357114194,0.6480740698407861,38,10,10.0,102.8,99,1.0383838383838384,0.37678874227945125,44.44444444444445,55.55555555555555,453,547,0.453,0.4444444444444445,10.192499999999999,9.846000000000002,1.0351919561243141,5.0,0.5,0.05,1.0,2.2,1.0,2.5,1.5
optimized_strong,206,500,1000,1500,1000,True,7.462976405999016,20.799635649465408,13.336659243466393,74.98129642098327,0.013336659243466394,0.00857160806538726,9875,10425,2060,550,560,0.27184466019417475,0.7281553398058253,9231,1464,23180,20,2.5,413.6,399,1.0365914786967418,0.2966039436218141,0.643117407632541,28,10,10.0,110.00000000000001,99,1.1111111111111112,0.21142023448786199,44.44444444444445,55.55555555555555,452,548,0.452,0.4444444444444445,10.169999999999998,9.864,1.0310218978102188,5.0,0.5,0.05,1.0,2.0,0.8,3.0,2.0
moderate_T_zone_activation,207,500,1000,1500,1000,True,9.155760489127086,25.06595574966443,15.910195260537343,62.85277984490472,0.015910195260537344,0.011031324242200213,11217,12525,2583,1308,1083,0.41927990708478513,0.5807200929152149,10816,1448,27372,20,2.5,367.2,399,0.9203007518796992,0.8714606702905492,0.6059702963017247,22,10,10.0,84.39999999999999,99,0.8525252525252525,0.8520964145416678,44.44444444444445,55.55555555555555,442,558,0.442,0.4444444444444445,9.944999999999999,10.044,0.9901433691756271,5.0,1.0,0.1,1.0,2.5,1.2,2.5,1.5
